PitcherID,Average_StuffPlus_2023,Average_StuffPlus_2024,era,xera,woba
605488,105.292410049527,99.0642607756764,,,
605498,99.4210844512288,,,,
605513,99.5745772582605,100.496017219649,2.65,4.05,0.272
605540,105.742610202164,,,,
605612,94.3668340847793,,,,
606149,96.8134657319711,99.8402285956701,,,
606160,101.384316441514,99.2423154864837,,,
606303,102.027007296853,100.921210953434,3.05,4.11,0.254
606625,98.689849688359,,,,
606930,97.5640463536372,95.7304498841549,4.36,4.91,0.323
606965,100.248350142359,101.01216569627,,,
607054,66.3620504906623,,,,
607067,98.1501410204786,97.7229754566935,4.29,4.91,0.327
607074,100.167156726896,99.1071001011404,3.96,4.14,0.32
607179,99.4882480450802,99.7989028747095,,,
607188,100.94952398347,,,,
607192,103.167930716375,102.229482359904,3.49,2.65,0.258
607200,,100.178343242937,3.3,3.91,0.293
607216,100.091755086058,,,,
607237,103.75301675203,106.254013519035,,,
607259,99.6752577093115,103.191748088479,3.1,3.19,0.279
607359,95.36345897368,,,,
607455,104.208647278101,98.2590055082819,3.08,3.26,0.281
607457,93.9975389453198,,,,
607461,96.6083912232517,,,,
607481,103.256539441034,104.532755082513,3.58,2.8,0.305
607536,92.3716575506021,87.8663847281056,5.24,5.11,0.357
607625,98.0218271344435,97.6385748457,3,3.75,0.278
607644,99.2204910784926,93.3064084999518,,,
607732,94.1958892082195,,,,
607755,102.448365827902,,,,
607968,94.547430781882,,,,
608032,102.707679245434,103.482040733425,2.46,3.19,0.235
608328,98.4301185575806,,,,
608331,100.060387426642,100.089662968717,3.25,3.72,0.273
608334,101.368342382182,98.4296606634625,4.15,4.74,0.326
608337,102.250934075088,,,,
608344,97.0718193548505,96.994525809755,5.11,5.78,0.357
